Gestão SUS,Esfera,Coord Reg de Saúde,Superv Tec de Saude,Subprefeitura,Distrito,nº CNES,Nome,Endereco,Telefone
SES,ESTADUAL,Centro- Oeste,Butantã,Butantã,Butantã,2091348,CS ESC SAMUEL B. PESSOA-FFM,"AV. VITAL BRASIL, 1490, BUTANTA, São Paulo, 05503000",3081-3269
SES,ESTADUAL,Centro- Oeste,Butantã,Butantã,Morumbi,2071371,HOSP SES INFANTIL DARCY VARGAS,"R. DR SERAFICO DE ASSIS CARVALHO, 34, JARDIM GUEDALA, São Paulo, 04024002",3069-5219
SES,ESTADUAL,Centro- Oeste,Butantã,Butantã,Butantã,2091356,HOSP SES VITAL BRAZIL,"AV. VITAL BRAZIL, 1500, BUTANTA, São Paulo, 05503900",3726-7962
SES,ESTADUAL,Centro- Oeste,Butantã,Butantã,Butantã,2076926,HOSP UNIVERSITARIO USP,"AV. PROF LINEU PRESTES, 2565, BUTANTA, São Paulo, 05508900",3039-9200
SMS,ESTADUAL,Centro- Oeste,Butantã,Butantã,Butantã,6559824,CEO FOUSP,"AV. PROF LINEU PRESTES, 2227, CIDADE UNIVERSITARIA, São Paulo, 05508900",
SMS,ESTADUAL,Centro- Oeste,Butantã,Butantã,Butantã,2091453,FACULDADE DE ODONTOLOGIA USP,"AV. PROF LINEU PRESTES, 2227, CIDADE UNIVERSITARIA, São Paulo, 05508900",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,6156959,AMA JD PERI PERI,"R. JOÃO GUERRA, 247, JD PERI PERI, São Paulo, 05535100",3744-3082
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,6156967,AMA JD SAO JORGE,"R. ANGELO APARECIDO DOS SANTOS DIAS, 331, JD SÃO JORGE, São Paulo, 05568090",3782-8518
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,6157025,AMA PAULO VI,"AV. VATICANO, 69, JD JOAO XXIII, São Paulo, 05569120",3782-8595
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Vila Sônia,6157114,AMA VILA SONIA,"R. ABRAÃO CALIL REZEK, 91, VL SONIA, São Paulo, 05625050",3744-2982
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2027240,AMB ESPEC J PERI PERI CEO II,"R. JOÃO GUERRA, 247, JD PERI PERI, São Paulo, 05535100",3742-0552
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,7018029,BASE SAMU - CENTRO OESTE - JARDIM SARAH - AM 857,"AV. ESCOLA POLITECNICA, 5019, RIO PEQUENO, São Paulo, 05350-000",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,7001398,BASE SAMU - CENTRO OESTE - POLITECNICA - AM977,"AV. ESCOLA POLITECNICA, 3092, RIO PEQUENO, São Paulo, 05350-000",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,7272340,BASE SAMU - CENTRO OESTE - POLITECNICA - URAM MC1090,"AV. ESCOLA POLITECNICA, 3092, RIO PEQUENO, São Paulo, 05350-000",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,7272375,BASE SAMU - CENTRO OESTE - POLITECNICA - URAM MC1138,"AV. ESCOLA POLITECNICA, 3092, RIO PEQUENO, São Paulo, 05350-000",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,7024320,BASE SAMU - CENTRO OESTE - SAO JORGE - AM911,"R. ENGENHEIRO ROBERTO FRADE MONTE, 171, JARDIM MONTE ALEGRE, São Paulo, 05545-190",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,6999700,BASE SAMU - CENTRO OESTE - SAO JORGE - AM976,"R. ENGENHEIRO ROBERTO FRADE MONTE, 171, CLAUDIA, São Paulo, 05545-190",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2786516,CAPS Adulto I BUTANTÃ,"R. OSCAR PINHEIRO COELHO, 287, CAXINGUI, São Paulo, 05516050",3727-1819
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2027410,CECCO PQ PREVIDENCIA,"R. PEDRO PECCININI, 88, JD PREVIDÊNCIA, São Paulo, 05532030",3721-5521
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2075717,HOSP MUN J SARAH-MARIO DEGNI,"R. LUCAS DE LEYDE, 257, VL ANTONIO, São Paulo, 05376010",3394-9330
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2027100,PS MUN BANDEIRANTES-CAETANO V NETTO,"R. AUGUSTO FARINHA, 1125, JD PINHEIROS, São Paulo, 05594001",3731-6018
